0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
1.0265+0.1613i	1.0227+0.16884i	1.0188+0.17638i	1.015+0.18392i	1.0111+0.19146i	1.0073+0.19901i	1.0032+0.20652i	0.99889+0.21401i	0.99457+0.2215i	0.99025+0.22899i	0.98593+0.23648i	0.98161+0.24397i	0.97688+0.25139i	0.9721+0.2588i
1.0549+0.16706i	1.051+0.17479i	1.0472+0.18252i	1.0434+0.19025i	1.0396+0.19798i	1.0358+0.20571i	1.0317+0.21341i	1.0274+0.22108i	1.0231+0.22876i	1.0188+0.23643i	1.0145+0.24411i	1.0102+0.25178i	1.0055+0.25938i	1.0007+0.26697i
1.0815+0.1628i	1.0778+0.1707i	1.0741+0.17861i	1.0704+0.18652i	1.0667+0.19442i	1.063+0.20233i	1.0591+0.21021i	1.0549+0.21806i	1.0507+0.22591i	1.0465+0.23376i	1.0423+0.24161i	1.0381+0.24946i	1.0335+0.25724i	1.0288+0.26501i
1.1037+0.14986i	1.1002+0.1579i	1.0967+0.16595i	1.0932+0.174i	1.0897+0.18204i	1.0862+0.19009i	1.0825+0.19811i	1.0785+0.20611i	1.0745+0.2141i	1.0705+0.2221i	1.0665+0.23009i	1.0625+0.23808i	1.0581+0.24601i	1.0536+0.25392i
1.1192+0.13034i	1.116+0.13848i	1.1128+0.14661i	1.1096+0.15474i	1.1064+0.16287i	1.1032+0.171i	1.0997+0.17911i	1.096+0.1872i	1.0923+0.19528i	1.0886+0.20337i	1.0849+0.21146i	1.0811+0.21954i	1.077+0.22756i	1.0728+0.23558i
1.1272+0.10671i	1.1243+0.11485i	1.1214+0.123i	1.1186+0.13115i	1.1157+0.13929i	1.1128+0.14744i	1.1097+0.15557i	1.1063+0.16367i	1.1029+0.17178i	1.0996+0.17989i	1.0962+0.188i	1.0928+0.19611i	1.089+0.20416i	1.0851+0.21221i
1.1272+0.081316i	1.1248+0.089393i	1.1223+0.09747i	1.1198+0.10555i	1.1173+0.11362i	1.1149+0.1217i	1.1121+0.12977i	1.1092+0.13782i	1.1062+0.14587i	1.1032+0.15392i	1.1002+0.16197i	1.0972+0.17002i	1.0938+0.17802i	1.0903+0.18602i
1.1201+0.056124i	1.118+0.064039i	1.116+0.071954i	1.1139+0.079869i	1.1119+0.087784i	1.1098+0.095699i	1.1075+0.10361i	1.1049+0.11151i	1.1024+0.11941i	1.0998+0.12731i	1.0973+0.13521i	1.0947+0.14311i	1.0917+0.15097i	1.0886+0.15883i
1.1065+0.032508i	1.1049+0.04016i	1.1033+0.047812i	1.1017+0.055463i	1.1001+0.063115i	1.0985+0.070767i	1.0966+0.078417i	1.0945+0.086065i	1.0924+0.093714i	1.0903+0.10136i	1.0881+0.10901i	1.086+0.11666i	1.0835+0.12428i	1.0809+0.1319i
1.0875+0.011296i	1.0863+0.018576i	1.0852+0.025855i	1.084+0.033134i	1.0828+0.040413i	1.0817+0.047693i	1.0803+0.054975i	1.0786+0.062262i	1.0769+0.069548i	1.0753+0.076835i	1.0736+0.084122i	1.072+0.091408i	1.0699+0.098679i	1.0677+0.10595i
1.0639-0.0070574i	1.0631-0.00026569i	1.0624+0.006526i	1.0616+0.013318i	1.0609+0.020109i	1.0601+0.026901i	1.0591+0.033701i	1.0579+0.040509i	1.0567+0.047316i	1.0554+0.054124i	1.0542+0.060932i	1.053+0.06774i	1.0513+0.074542i	1.0496+0.081343i
1.036-0.022205i	1.0356-0.016019i	1.0352-0.0098325i	1.0348-0.0036464i	1.0345+0.0025397i	1.0341+0.0087258i	1.0335+0.014923i	1.0326+0.021132i	1.0318+0.027341i	1.031+0.03355i	1.0301+0.039759i	1.0293+0.045968i	1.028+0.052178i	1.0267+0.058388i
1.004-0.033647i	1.004-0.028182i	1.0039-0.022718i	1.0038-0.017253i	1.0037-0.011789i	1.0037-0.0063241i	1.0034-0.00084647i	1.0029+0.004645i	1.0023+0.010137i	1.0018+0.015628i	1.0013+0.021119i	1.0008+0.026611i	0.99984+0.032109i	0.99886+0.037608i
